2025-11-28T15:33:37.686461Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 32.54, 'timestamp': '2025-11-28T15:33:37.682215Z'}
2025-11-28T15:33:44.685936Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 88.48, 'timestamp': '2025-11-28T15:33:44.685936Z'}
2025-11-28T15:33:51.687933Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 66.25, 'timestamp': '2025-11-28T15:33:51.687933Z'}
2025-11-28T15:33:58.691918Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 31.92, 'timestamp': '2025-11-28T15:33:58.689906Z'}
2025-11-28T15:34:05.695676Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 55.76, 'timestamp': '2025-11-28T15:34:05.695167Z'}
2025-11-28T15:34:12.699151Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 86.12, 'timestamp': '2025-11-28T15:34:12.697968Z'}
2025-11-28T15:34:19.701947Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 71.72, 'timestamp': '2025-11-28T15:34:19.700932Z'}
2025-11-28T15:34:26.704571Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 76.32, 'timestamp': '2025-11-28T15:34:26.704571Z'}
2025-11-28T15:34:33.707603Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 56.6, 'timestamp': '2025-11-28T15:34:33.706588Z'}
2025-11-28T15:34:40.708880Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 62.55, 'timestamp': '2025-11-28T15:34:40.708880Z'}
2025-11-28T15:34:47.713341Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 77.17, 'timestamp': '2025-11-28T15:34:47.712305Z'}
2025-11-28T15:34:54.717260Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 39.5, 'timestamp': '2025-11-28T15:34:54.717260Z'}
2025-11-28T15:35:01.719858Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 45.58, 'timestamp': '2025-11-28T15:35:01.718815Z'}
2025-11-28T15:35:08.723823Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 76.26, 'timestamp': '2025-11-28T15:35:08.723319Z'}
2025-11-28T15:35:15.726628Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 49.93, 'timestamp': '2025-11-28T15:35:15.725583Z'}
2025-11-28T15:35:22.731579Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 44.64, 'timestamp': '2025-11-28T15:35:22.730534Z'}
2025-11-28T15:35:29.733952Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 70.41, 'timestamp': '2025-11-28T15:35:29.733952Z'}
2025-11-28T15:35:36.737556Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 54.53, 'timestamp': '2025-11-28T15:35:36.736537Z'}
2025-11-28T15:35:43.740636Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 68.18, 'timestamp': '2025-11-28T15:35:43.739619Z'}
2025-11-28T15:35:50.745142Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 53.7, 'timestamp': '2025-11-28T15:35:50.743604Z'}
2025-11-28T15:35:57.748063Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 83.3, 'timestamp': '2025-11-28T15:35:57.747023Z'}
2025-11-28T15:36:04.752303Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 42.93, 'timestamp': '2025-11-28T15:36:04.752303Z'}
2025-11-28T15:36:11.756613Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 38.66, 'timestamp': '2025-11-28T15:36:11.755597Z'}
2025-11-28T15:36:18.757769Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 72.93, 'timestamp': '2025-11-28T15:36:18.757769Z'}
2025-11-28T15:36:25.760318Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 31.45, 'timestamp': '2025-11-28T15:36:25.759681Z'}
2025-11-28T15:36:32.762131Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 36.95, 'timestamp': '2025-11-28T15:36:32.762131Z'}
2025-11-28T15:36:39.765116Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 47.85, 'timestamp': '2025-11-28T15:36:39.765116Z'}
2025-11-28T15:36:46.769436Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 77.19, 'timestamp': '2025-11-28T15:36:46.768925Z'}
2025-11-28T15:36:53.771704Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 51.67, 'timestamp': '2025-11-28T15:36:53.770685Z'}
2025-11-28T15:37:00.775915Z {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 57.45, 'timestamp': '2025-11-28T15:37:00.775229Z'}
