2025-11-28T15:33:37.681209Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 35, 'timestamp': '2025-11-28T15:33:37.681209Z'}
2025-11-28T15:33:47.686199Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 38, 'timestamp': '2025-11-28T15:33:47.685160Z'}
2025-11-28T15:33:57.690952Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 12, 'timestamp': '2025-11-28T15:33:57.690952Z'}
2025-11-28T15:34:07.693584Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 29, 'timestamp': '2025-11-28T15:34:07.693039Z'}
2025-11-28T15:34:17.697489Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 15, 'timestamp': '2025-11-28T15:34:17.696426Z'}
2025-11-28T15:34:27.701687Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 37, 'timestamp': '2025-11-28T15:34:27.701178Z'}
2025-11-28T15:34:37.703841Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 24, 'timestamp': '2025-11-28T15:34:37.703334Z'}
2025-11-28T15:34:47.707473Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 44, 'timestamp': '2025-11-28T15:34:47.705427Z'}
2025-11-28T15:34:57.710025Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 47, 'timestamp': '2025-11-28T15:34:57.710025Z'}
2025-11-28T15:35:07.713400Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 43, 'timestamp': '2025-11-28T15:35:07.711801Z'}
2025-11-28T15:35:17.717352Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 49, 'timestamp': '2025-11-28T15:35:17.715800Z'}
2025-11-28T15:35:27.723787Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 18, 'timestamp': '2025-11-28T15:35:27.722752Z'}
2025-11-28T15:35:37.727380Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 23, 'timestamp': '2025-11-28T15:35:37.727380Z'}
2025-11-28T15:35:47.732508Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 0, 'timestamp': '2025-11-28T15:35:47.729459Z'}
2025-11-28T15:35:57.738208Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 17, 'timestamp': '2025-11-28T15:35:57.737144Z'}
2025-11-28T15:36:07.741706Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 17, 'timestamp': '2025-11-28T15:36:07.741706Z'}
2025-11-28T15:36:17.745270Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 49, 'timestamp': '2025-11-28T15:36:17.745270Z'}
2025-11-28T15:36:27.748976Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 11, 'timestamp': '2025-11-28T15:36:27.747828Z'}
2025-11-28T15:36:37.755996Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 24, 'timestamp': '2025-11-28T15:36:37.754978Z'}
2025-11-28T15:36:47.759064Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 6, 'timestamp': '2025-11-28T15:36:47.759064Z'}
2025-11-28T15:36:57.761443Z {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 43, 'timestamp': '2025-11-28T15:36:57.760396Z'}
