2025-11-28T15:33:37.684220Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.08, 'timestamp': '2025-11-28T15:33:37.681209Z'}
2025-11-28T15:33:42.686164Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.9, 'timestamp': '2025-11-28T15:33:42.684115Z'}
2025-11-28T15:33:47.690786Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.35, 'timestamp': '2025-11-28T15:33:47.690786Z'}
2025-11-28T15:33:52.695706Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 27.96, 'timestamp': '2025-11-28T15:33:52.694685Z'}
2025-11-28T15:33:57.699607Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.35, 'timestamp': '2025-11-28T15:33:57.699607Z'}
2025-11-28T15:34:02.702401Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.69, 'timestamp': '2025-11-28T15:34:02.702401Z'}
2025-11-28T15:34:07.706280Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 25.08, 'timestamp': '2025-11-28T15:34:07.705264Z'}
2025-11-28T15:34:12.708574Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 23.73, 'timestamp': '2025-11-28T15:34:12.708040Z'}
2025-11-28T15:34:17.711973Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 29.98, 'timestamp': '2025-11-28T15:34:17.710920Z'}
2025-11-28T15:34:22.715125Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.3, 'timestamp': '2025-11-28T15:34:22.715125Z'}
2025-11-28T15:34:27.717347Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.31, 'timestamp': '2025-11-28T15:34:27.716316Z'}
2025-11-28T15:34:32.720681Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.48, 'timestamp': '2025-11-28T15:34:32.720681Z'}
2025-11-28T15:34:37.723067Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.42, 'timestamp': '2025-11-28T15:34:37.722561Z'}
2025-11-28T15:34:42.725451Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.19, 'timestamp': '2025-11-28T15:34:42.725451Z'}
2025-11-28T15:34:47.727369Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.81, 'timestamp': '2025-11-28T15:34:47.726862Z'}
2025-11-28T15:34:52.729688Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.15, 'timestamp': '2025-11-28T15:34:52.729688Z'}
2025-11-28T15:34:57.732115Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 27.81, 'timestamp': '2025-11-28T15:34:57.732115Z'}
2025-11-28T15:35:02.735430Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.24, 'timestamp': '2025-11-28T15:35:02.734413Z'}
2025-11-28T15:35:07.738088Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.16, 'timestamp': '2025-11-28T15:35:07.737069Z'}
2025-11-28T15:35:12.743063Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.77, 'timestamp': '2025-11-28T15:35:12.742030Z'}
2025-11-28T15:35:17.746652Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.19, 'timestamp': '2025-11-28T15:35:17.746652Z'}
2025-11-28T15:35:22.750364Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 28.37, 'timestamp': '2025-11-28T15:35:22.748320Z'}
2025-11-28T15:35:27.754927Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 26.73, 'timestamp': '2025-11-28T15:35:27.753910Z'}
2025-11-28T15:35:32.759353Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.59, 'timestamp': '2025-11-28T15:35:32.757709Z'}
2025-11-28T15:35:37.762896Z {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.12, 'timestamp': '2025-11-28T15:35:37.762896Z'}
