{'received_at': '2025-11-28T15:33:37.681209Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 35, 'timestamp': '2025-11-28T15:33:37.681209Z'}}
{'received_at': '2025-11-28T15:33:37.684220Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 20.08, 'timestamp': '2025-11-28T15:33:37.681209Z'}}
{'received_at': '2025-11-28T15:33:37.686461Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 32.54, 'timestamp': '2025-11-28T15:33:37.682215Z'}}
{'received_at': '2025-11-28T15:33:42.686164Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 22.9, 'timestamp': '2025-11-28T15:33:42.684115Z'}}
{'received_at': '2025-11-28T15:33:44.685936Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 88.48, 'timestamp': '2025-11-28T15:33:44.685936Z'}}
{'received_at': '2025-11-28T15:33:47.686199Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 38, 'timestamp': '2025-11-28T15:33:47.685160Z'}}
{'received_at': '2025-11-28T15:33:47.690786Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.35, 'timestamp': '2025-11-28T15:33:47.690786Z'}}
{'received_at': '2025-11-28T15:33:51.687933Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 66.25, 'timestamp': '2025-11-28T15:33:51.687933Z'}}
{'received_at': '2025-11-28T15:33:52.695706Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 27.96, 'timestamp': '2025-11-28T15:33:52.694685Z'}}
{'received_at': '2025-11-28T15:33:57.690952Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 12, 'timestamp': '2025-11-28T15:33:57.690952Z'}}
{'received_at': '2025-11-28T15:33:57.699607Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 21.35, 'timestamp': '2025-11-28T15:33:57.699607Z'}}
{'received_at': '2025-11-28T15:33:58.691918Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 31.92, 'timestamp': '2025-11-28T15:33:58.689906Z'}}
{'received_at': '2025-11-28T15:34:02.702401Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 24.69, 'timestamp': '2025-11-28T15:34:02.702401Z'}}
{'received_at': '2025-11-28T15:34:05.695676Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 55.76, 'timestamp': '2025-11-28T15:34:05.695167Z'}}
{'received_at': '2025-11-28T15:34:07.693584Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 29, 'timestamp': '2025-11-28T15:34:07.693039Z'}}
{'received_at': '2025-11-28T15:34:07.706280Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 25.08, 'timestamp': '2025-11-28T15:34:07.705264Z'}}
{'received_at': '2025-11-28T15:34:12.699151Z', 'topic': 'sensors/humidity', 'payload': {'student_id': '12217558', 'sensor': 'sensors/humidity', 'value': 86.12, 'timestamp': '2025-11-28T15:34:12.697968Z'}}
{'received_at': '2025-11-28T15:34:12.708574Z', 'topic': 'sensors/temperature', 'payload': {'student_id': '12217558', 'sensor': 'sensors/temperature', 'value': 23.73, 'timestamp': '2025-11-28T15:34:12.708040Z'}}
{'received_at': '2025-11-28T15:34:17.697489Z', 'topic': 'sensors/people_counter', 'payload': {'student_id': '12217558', 'sensor': 'sensors/people_counter', 'value': 15, 'timestamp': '2025-11-28T15:34:17.696426Z'}}
